OBJECTNUMMER;Naam;Straatnaam;Doelgroep;Aantal_woningen;Status;Termijn_project;Eigenaar_beheerder;Informatie;Webpagina;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
164;"Transformatie Flierbosdreef";"Flierbosdreef 2-12";"Jongeren";175;"Plan in ontwikkeling";"Permanent";"Camelot";"Transformatie van kantoorgebouw naar 400 woningen. 80% zijn sociale huurwoningen, waarvan 175 jongeren woningen";"";"POINT(4.954618,52.3156193)";"POINT(52.3156193,4.954618)";4.954618;52.3156193;
165;"Lieven fase 4";"Voorburgstraat";"Jongeren";40;"Plan in ontwikkeling";"Permanent";"De Key";"Planning oplevering Q4 2019";"https://startinlieven.nl/";"POINT(4.837694,52.3481093)";"POINT(52.3481093,4.837694)";4.837694;52.3481093;
166;"Lieven fase 5";"Rodenrijsstraat";"Studenten";73;"Plan in ontwikkeling";"Permanent";"De Key";"Planning oplevering Q4 2019";"https://startinlieven.nl/";"POINT(4.8376995,52.3479162)";"POINT(52.3479162,4.8376995)";4.8376995;52.3479162;
167;"Lieven fase 6";"Voorburgstraat";"Jongeren";126;"Plan in ontwikkeling";"Permanent";"De Key";"Verwachting oplevering Q4 2021";"";"POINT(4.8383164,52.3482566)";"POINT(52.3482566,4.8383164)";4.8383164;52.3482566;
168;"Lieven fase 8";"Vlaardingenlaan/Overschiestraat";"Gemengd";406;"Plan in ontwikkeling";"Permanent";"De Key";"Verwachte oplevering Q4 2021";"https://startinlieven.nl/";"POINT(4.8391926,52.3473555)";"POINT(52.3473555,4.8391926)";4.8391926;52.3473555;
169;"Houthavens kavel 3c";"Karlskrona-Eiland";"Jongeren";306;"Plan in ontwikkeling";"Permanent";"De Key";"102 Friends-woningen. Startbouw 2020 of 2021";"";"POINT(4.8837929,52.3920774)";"POINT(52.3920774,4.8837929)";4.8837929;52.3920774;
170;"Houthavens kavel 5c";"Meme-Eiland";"Jongeren";210;"Plan in ontwikkeling";"Permanent";"De Key";"70 Friends-woningen. Startbouw 2020 of 2021";"";"POINT(4.8832505,52.393165)";"POINT(52.393165,4.8832505)";4.8832505;52.393165;
171;"Transformatie Diderotstraat";"Diderotstraat/Descartesstraat";"Jongeren";96;"Plan in ontwikkeling";"Permanent";"Stadgenoot";"Transformatie (sloop/nieuwbouw) van oud bedrijfspand naar jongerenwoningen. Planning startbouw Q2 2021";"";"POINT(4.8105158,52.37566)";"POINT(52.37566,4.8105158)";4.8105158;52.37566;
172;"Bijlmerbajes";"H. J. E. Wenckebachweg 48";"Studenten";275;"Plan in ontwikkeling";"Permanent";"De Alliantie";"";"";"POINT(4.9233498,52.339074)";"POINT(52.339074,4.9233498)";4.9233498;52.339074;
173;"August Allabéplein Blok 6 (N)";"Willem Roelofstraat";"Jongeren";198;"Plan in ontwikkeling";"Permanent";"De Key";"Planning startbouw Q4 2020. Studio&#096;s en twee-kamer appartementen";"";"POINT(4.8353671,52.3632216)";"POINT(52.3632216,4.8353671)";4.8353671;52.3632216;
174;"Baak Zuid";"Trompenburgstraat";"Jongeren";35;"Bestaand";"Permanent";"De Alliantie";"35 woningen voor jongeren en statushouders";"https://www.de-alliantie.nl/over-de-alliantie/projecten/amsterdam/baak-zuid/algemeen/";"POINT(4.9063608,52.3440651)";"POINT(52.3440651,4.9063608)";4.9063608;52.3440651;
